jersey_number,name,position,contract_start,contract_end,minutes_played
24,Joško Gvardiol,Defence,2023-08,2028-06,3009 min
9,Erling Haaland,Offence,2022-07,2034-06,2484 min
20,Bernardo Silva,Midfield,2020-07,2026-06,2400 min
8,Mateo Kovačić,Midfield,2023-07,2027-06,2053 min
19,Ilkay Gündogan,Midfield,2024-08,2026-06,2052 min
31,Ederson,Goalkeeper,2017-07,2026-06,2051 min
3,Rúben Dias,Defence,2020-09,2027-06,1998 min
82,Rico Lewis,Defence,2022-08,2028-06,1822 min
25,Manuel Akanji,Defence,2022-09,2027-06,1744 min
26,Sávio,Midfield,2024-07,2029-06,1742 min
47,Phil Foden,Midfield,2017-07,2027-06,1696 min
17,Kevin De Bruyne,Midfield,2015-08,2025-06,1542 min
27,Matheus Nunes,Midfield,2023-09,2028-06,1491 min
11,Jeremy Doku,Midfield,2023-08,2028-06,1393 min
18,Stefan Ortega Moreno,Goalkeeper,2022-07,2026-06,1099 min
7,Omar Marmoush,Offence,2025-01,2029-06,1004 min
10,Jack Grealish,Midfield,2021-08,2027-06,714 min
6,Nathan Aké,Defence,2020-08,2027-06,683 min
14,Nico Gonzalez,Midfield,2025-02,2029-06,651 min
5,John Stones,Defence,2017-07,2026-06,547 min
75,Nico O'Reilly,Midfield,2024-07,2025-06,513 min
45,Abdukodir Khusanov,Defence,2025-01,2029-06,503 min
87,James McAtee,Midfield,2024-07,2026-06,294 min
66,Jahmai Simpson-Pusey,Defence,2024-10,2026-06,95 min
16,Rodri,Midfield,2019-07,2027-06,65 min
67,Divin Mubama,Offence,2024-12,2025-06,27 min
52,Oscar Bobb,Midfield,2023-07,2029-06,13 min
33,Scott Carson,Goalkeeper,2021-07,2025-06,0 min
69,Max Hudson,Goalkeeper,2024-12,2025-06,0 min
80,Spike Brits,Goalkeeper,2024-12,2025-06,0 min
61,Kaden Braithwaite,Defence,2024-09,2025-06,0 min
98,Farid Alfa-Ruprecht,Offence,2024-10,2026-06,0 min
22,Vitor Reis,Defence,2025-01,2029-06,0 min
68,Max Alleyne,Defence,2024-12,2025-06,0 min
30,Claudio Echeverri,Midfield,2025-01,2028-06,0 min
,Christian McFarlane,Defence,2025-01,2025-06,0 min
